year,avgTemp,minTemp,maxTemp,rainFall,accomodation(1000),concert,culture,food,history,sport,nature,rest,shopping
2015-02-25,10.3,6.8,12.7,0,0.312,0.017,0.147,0.405,0.028,0.062,0.35,0.16,0.059
2015-02-26,8.8,4.9,11.6,0,0.344,0.015,0.19,0.492,0.022,0.096,0.38,0.174,0.094
2015-02-27,4.2,3.7,5.4,0,0.377,0.016,0.2,0.544,0.038,0.103,0.365,0.202,0.095
2015-02-28,7.9,4.1,9.8,13,0.427,0.023,0.26,0.705,0.029,0.105,0.419,0.225,0.099
2015-03-01,7.3,5.9,9.2,2.6,0.288,0.023,0.153,0.603,0.024,0.071,0.506,0.146,0.105
2015-03-02,7,3.4,10.1,0,0.131,0.007,0.059,0.364,0.01,0.03,0.33,0.095,0.075
2015-03-03,8.4,6.8,10.1,1.3,0.124,0.003,0.096,0.25,0.012,0.022,0.264,0.09,0.062
2015-03-04,4,3.2,6.8,0,0.121,0.011,0.04,0.222,0.027,0.028,0.237,0.098,0.058
2015-03-05,5.4,2.8,7.1,0,0.207,0.007,0.028,0.305,0.014,0.037,0.306,0.084,0.06
2015-03-06,8,6.3,9.3,1.5,0.293,0.005,0.091,0.387,0.006,0.059,0.267,0.11,0.075
2015-03-07,9.3,6.3,12.1,0,0.409,0.008,0.111,0.717,0.017,0.114,0.495,0.173,0.113
2015-03-08,10.7,4,16.1,0,0.301,0.005,0.095,0.797,0.026,0.109,0.588,0.187,0.094
2015-03-09,7.6,2,11.6,9.5,0.188,0.006,0.079,0.386,0.025,0.036,0.316,0.107,0.084
2015-03-10,2.9,0.2,4.1,0.2,0.169,0.013,0.11,0.296,0.011,0.032,0.224,0.112,0.055
2015-03-11,7,3.3,9.7,0,0.155,0.003,0.067,0.278,0.014,0.025,0.343,0.103,0.059
2015-03-12,8.3,6.2,11.3,0,0.222,0.007,0.08,0.367,0.014,0.042,0.367,0.092,0.072
2015-03-13,11.5,4.7,17.7,0,0.4,0.013,0.091,0.48,0.014,0.079,0.432,0.145,0.076
2015-03-14,10.3,8.7,12.2,0,0.556,0.018,0.166,0.795,0.04,0.146,0.653,0.182,0.099
2015-03-15,10.8,7.8,14,0,0.339,0.013,0.139,0.908,0.049,0.139,0.653,0.232,0.099
2015-03-16,13.5,9.9,17.1,0,0.227,0.005,0.083,0.464,0.023,0.052,0.42,0.111,0.095
2015-03-17,15.7,11.1,19.6,0,0.195,0.004,0.073,0.329,0.021,0.034,0.375,0.106,0.086
2015-03-18,17.1,13.9,20.6,60.5,0.198,0.019,0.129,0.298,0.006,0.014,0.21,0.116,0.068
2015-03-19,12.8,11.5,14.8,4.2,0.309,0.01,0.067,0.354,0.018,0.034,0.349,0.115,0.067
2015-03-20,12.9,11.3,16.5,0.2,0.521,0.011,0.092,0.645,0.034,0.108,0.583,0.201,0.077
2015-03-21,13.8,10.9,17.5,0,0.708,0.018,0.188,1.184,0.052,0.156,0.937,0.288,0.143
2015-03-22,12.3,9,16.5,0,0.464,0.014,0.208,1.178,0.037,0.17,0.911,0.281,0.135
2015-03-23,9.1,6.7,11.7,0,0.33,0.015,0.114,0.675,0.029,0.044,0.558,0.182,0.072
2015-03-24,8.5,6,12,0,0.268,0.012,0.121,0.565,0.017,0.068,0.466,0.162,0.097
2015-03-25,8.6,4.3,12.9,0,0.272,0.003,0.093,0.421,0.018,0.059,0.507,0.164,0.075
2015-03-26,9.8,5.1,14.5,0,0.378,0.011,0.102,0.54,0.023,0.081,0.512,0.146,0.091
2015-03-27,10.9,7.5,13.9,0,0.56,0.02,0.168,0.65,0.022,0.089,0.536,0.177,0.111
2015-03-28,12.8,10.2,15.7,0,0.73,0.019,0.183,1.146,0.048,0.165,0.882,0.252,0.129
2015-03-29,13.5,10.3,16.7,0,0.515,0.013,0.202,1.091,0.044,0.161,0.82,0.299,0.133
2015-03-30,14,10.7,17.9,0,0.313,0.014,0.143,0.663,0.033,0.097,0.602,0.2,0.114
2015-03-31,18.1,14.9,22.2,0.7,0.291,0.012,0.205,0.499,0.015,0.052,0.373,0.164,0.098
2015-04-01,15.4,14,19,0,0.242,0.003,0.088,0.459,0.031,0.049,0.498,0.113,0.055
2015-04-02,20.2,14,27.7,0.9,0.344,0.021,0.159,0.521,0.023,0.071,0.382,0.167,0.089
2015-04-03,12.6,10,22.1,7.8,0.52,0.014,0.157,0.68,0.035,0.099,0.511,0.185,0.088
2015-04-04,14.4,10,17.4,10.5,0.633,0.026,0.303,1.16,0.035,0.113,0.567,0.275,0.147
2015-04-05,13.2,12.3,14.4,3.9,0.508,0.017,0.206,1.177,0.036,0.138,0.796,0.295,0.129
2015-04-06,12.1,10,13.3,36.6,0.329,0.015,0.154,0.668,0.015,0.043,0.418,0.225,0.108
2015-04-07,10.3,8.7,12.6,0,0.3,0.017,0.096,0.486,0.027,0.081,0.453,0.167,0.102
2015-04-08,11,8.8,14.4,0,0.245,0.009,0.094,0.465,0.029,0.056,0.419,0.155,0.084
2015-04-09,12.1,9.3,14.5,0,0.424,0.023,0.132,0.666,0.028,0.085,0.574,0.171,0.107
2015-04-10,12.8,10.6,15.2,0,0.569,0.007,0.191,0.801,0.041,0.122,0.725,0.232,0.114
2015-04-11,13.5,9.5,17.6,0,0.746,0.031,0.206,1.303,0.053,0.191,1.018,0.346,0.153
2015-04-12,13.5,11.7,18.4,15.6,0.673,0.029,0.222,1.158,0.047,0.169,0.777,0.284,0.15
2015-04-13,12.1,8.9,14.5,15.1,0.396,0.036,0.196,0.749,0.027,0.071,0.498,0.26,0.119
2015-04-14,10.1,7,14.2,2.5,0.312,0.014,0.152,0.605,0.024,0.051,0.528,0.194,0.106
