year,avgTemp,minTemp,maxTemp,rainFall,avgVisitor,ID,10000Visitor
2018-04-05,17.9,14.4,21.3,0,134344,20180405,13.4344
2018-04-06,11,8.1,18.2,20,143654,20180406,14.3654
2018-04-07,7.8,5.3,9.8,0,148351,20180407,14.8351
2018-04-08,12.5,7,16.4,0,142684,20180408,14.2684
2018-04-09,14.3,12.6,16.3,0,135384,20180409,13.5384
2018-04-10,18.8,12.5,22.3,0,133886,20180410,13.3886
2018-04-11,17.2,13.6,21.2,0,139870,20180411,13.987
2018-04-12,17,13.1,23.5,0,145820,20180412,14.582
2018-04-13,16.4,14.3,19.5,0,154060,20180413,15.406
2018-04-14,15.2,10.2,22.9,3.7,156852,20180414,15.6852
2018-04-15,11.9,9.6,15.7,0,150636,20180415,15.0636
2018-04-16,12.2,8.5,14.6,0,141362,20180416,14.1362
2018-04-17,14.5,12.3,16.6,0,137823,20180417,13.7823
2018-04-18,13.6,10.7,17.3,0,141365,20180418,14.1365
2018-04-19,15.2,9.2,20.3,0,148092,20180419,14.8092
2018-04-20,16.6,12.1,20.3,0,156688,20180420,15.6688
2018-04-21,17.4,13.2,19.5,0,162158,20180421,16.2158
2018-04-22,20.4,17.3,25.2,5.2,152736,20180422,15.2736
2018-04-23,18.5,16.1,21.8,41.8,141480,20180423,14.148
2018-04-24,14.7,13.6,16.4,38.7,141078,20180424,14.1078
2018-04-25,14.6,12.6,17.8,1.7,148376,20180425,14.8376
2018-04-26,15.5,12.1,19.4,0,157892,20180426,15.7892
2018-04-27,16.6,13.5,21.2,0,167618,20180427,16.7618
2018-04-28,16.4,13.1,19.3,0,170492,20180428,17.0492
2018-04-29,17.3,14.4,19.3,0,166796,20180429,16.6796
2018-04-30,20.7,17.4,26.1,1.2,156457,20180430,15.6457
2018-05-01,20.7,16.5,26,0,128594,20180501,12.8594
2018-05-02,17.6,13.4,24.5,0.3,123560,20180502,12.356
2018-05-03,15.2,12.7,19,0,126024,20180503,12.6024
2018-05-04,16.2,12.3,20.3,0,139538,20180504,13.9538
2018-05-05,19.6,13.7,22.7,0,153584,20180505,15.3584
2018-05-06,20.3,17.2,23.6,21.4,154287,20180506,15.4287
2018-05-07,16.8,15.5,18.1,17.2,137851,20180507,13.7851
2018-05-08,16,14.2,18.3,0,124758,20180508,12.4758
2018-05-09,15.7,13.8,18.1,0,121992,20180509,12.1992
2018-05-10,15.9,13.9,18.3,0,131184,20180510,13.1184
2018-05-11,17.9,12,22.8,0,140396,20180511,14.0396
2018-05-12,22.2,18.4,24.4,1.3,141484,20180512,14.1484
2018-05-13,17.1,14.9,21.7,41.8,136829,20180513,13.6829
2018-05-14,19,14.9,23.2,0,134768,20180514,13.4768
2018-05-15,21.8,17.9,26.3,0,138016,20180515,13.8016
2018-05-16,24.8,21.3,31.1,0,143524,20180516,14.3524
2018-05-17,25.7,22.1,30.1,0,147116,20180517,14.7116
2018-05-18,21.8,16.3,27.8,2.4,151210,20180518,15.121
2018-05-19,16.6,15.5,17.9,0,157052,20180519,15.7052
2018-05-20,16.5,15.1,18.6,0.7,160800,20180520,16.08
2018-05-21,17.7,15.7,20.3,0,155491,20180521,15.5491
2018-05-22,20.7,16.8,26.4,2.7,144266,20180522,14.4266
2018-05-23,17.8,16.1,22.7,4.1,132562,20180523,13.2562
2018-05-24,19.2,14.1,24.4,0,134036,20180524,13.4036
2018-05-25,19.9,18,24,0,143196,20180525,14.3196
2018-05-26,18.4,14.8,23.9,2.9,150944,20180526,15.0944
2018-05-27,19.3,16.7,23,0.1,148190,20180527,14.819
2018-05-28,20.1,17.7,24,3.9,142674,20180528,14.2674
2018-05-29,21,19.1,26.8,0,143700,20180529,14.37
2018-05-30,21.1,18.6,24.6,0,148344,20180530,14.8344
2018-05-31,18.8,16.8,21.8,0,149530,20180531,14.953
2018-06-01,20.1,16.2,23.2,0,131852,20180601,13.1852
2018-06-02,22.1,19.2,25.5,0,136892,20180602,13.6892
2018-06-03,21.6,20.3,24.1,0,136154,20180603,13.6154
2018-06-04,22.8,19.5,26.7,0,129206,20180604,12.9206
2018-06-05,19.8,19.1,22.9,28.5,131912,20180605,13.1912
