ID,avgVisitor
2018-08-03,18.31690964
2018-08-04,18.66313222
2018-08-05,18.30962288
2018-08-06,17.89801867
2018-08-07,17.58942707
2018-08-08,17.78365938
2018-08-09,18.1963648
2018-08-10,18.72637339
2018-08-11,18.82578864
2018-08-12,17.71618122
2018-08-13,17.99700901
2018-08-14,17.57052354
2018-08-15,17.48741543
2018-08-16,17.36760044
2018-08-17,17.64076367
2018-08-18,17.86666226
2018-08-19,17.36901848
2018-08-20,16.76801964
2018-08-21,16.13204785
2018-08-22,15.40574163
2018-08-23,11.34125316
2018-08-24,16.39068551
2018-08-25,16.22662037
2018-08-26,15.63265471
2018-08-27,15.02919061
2018-08-28,14.42020341
2018-08-29,14.40195345
2018-08-30,14.59809147
2018-08-31,15.08478713
2018-09-01,14.53814912
2018-09-02,13.93946821
2018-09-03,13.51541082
2018-09-04,12.89296102
2018-09-05,13.13430023
2018-09-06,13.41623749
2018-09-07,13.46141106
2018-09-08,13.68910932
2018-09-09,13.28029778
2018-09-10,12.76839235
2018-09-11,12.42096468
2018-09-12,12.73504212
2018-09-13,10.77581026
2018-09-14,13.96777133
2018-09-15,14.26496868
2018-09-16,13.92789851
2018-09-17,13.37663001
2018-09-18,13.19378783
2018-09-19,13.33582756
2018-09-20,13.78513474
2018-09-21,14.41440615
2018-09-22,14.77222191
2018-09-23,14.36535075
2018-09-24,13.736057
2018-09-25,13.39316777
2018-09-26,13.71234588
2018-09-27,14.0360314
2018-09-28,14.61885773
2018-09-29,14.76142288
2018-09-30,14.45743003
2018-10-01,13.92075254
2018-10-02,13.52460615
2018-10-03,13.57472947
2018-10-04,14.06920632
2018-10-05,9.22294829
2018-10-06,14.43815866
2018-10-07,14.44850892
2018-10-08,13.8136517
2018-10-09,13.65822425
2018-10-10,13.68283884
2018-10-11,13.89277755
2018-10-12,14.37983584
2018-10-13,14.64578265
2018-10-14,14.51795299
2018-10-15,14.21198053
2018-10-16,13.59928181
2018-10-17,14.0167052
2018-10-18,14.48764673
2018-10-19,15.02782572
2018-10-20,15.37923148
2018-10-21,15.12003526
2018-10-22,14.73276718
2018-10-23,14.60299949
2018-10-24,14.72932814
2018-10-25,15.18922354
2018-10-26,15.86810631
2018-10-27,15.93608207
2018-10-28,15.69948007
2018-10-29,15.24383234
2018-10-30,14.61843022
2018-10-31,14.71501124
2018-11-01,15.02424551
2018-11-02,15.57988066
2018-11-03,15.88244405
2018-11-04,15.33145938
2018-11-05,14.74050804
2018-11-06,14.48594308
2018-11-07,14.70532678
2018-11-08,14.67453653
2018-11-09,15.07908578
2018-11-10,15.06735955
2018-11-11,14.56875437
2018-11-12,13.88975444
2018-11-13,13.46088217
2018-11-14,13.49308706
2018-11-15,14.02127782
2018-11-16,14.27065838
2018-11-17,14.24228257
2018-11-18,13.66281816
2018-11-19,13.15935703
2018-11-20,12.67984793
2018-11-21,12.87734014
2018-11-22,12.87265672
2018-11-23,13.3371655
2018-11-24,13.89863384
2018-11-25,13.34889251
2018-11-26,12.94843363
2018-11-27,12.52397491
2018-11-28,12.62481752
2018-11-29,12.92408247
2018-11-30,13.47391369
2018-12-01,13.80323192
2018-12-02,13.71593942
2018-12-03,13.26217149
2018-12-04,12.13173288
2018-12-05,12.27210709
2018-12-06,12.34956415
2018-12-07,12.49072904
2018-12-08,12.74148763
2018-12-09,12.27543723
2018-12-10,12.09355563
2018-12-11,11.57322719
2018-12-12,11.80934641
2018-12-13,12.3665135
2018-12-14,12.6187181
2018-12-15,12.86379732
2018-12-16,12.65901781
2018-12-17,12.40535834
2018-12-18,12.01606146
2018-12-19,12.66259919
2018-12-20,12.54211767
2018-12-21,13.751627
2018-12-22,13.81754069
2018-12-23,13.01145852
2018-12-24,12.38679044
2018-12-25,12.29961808
2018-12-26,12.71888824
2018-12-27,12.50616829
2018-12-28,13.12610227
2018-12-29,13.67338721
2018-12-30,13.35798471
2018-12-31,13.13549055
2019-01-01,13.04569198
2019-01-02,13.35091273
2019-01-03,13.82190901
2019-01-04,14.48074211
2019-01-05,15.06697448
2019-01-06,14.59246941
2019-01-07,14.18888815
2019-01-08,14.04336257
2019-01-09,14.13589103
2019-01-10,14.84063774
2019-01-11,15.46185252
2019-01-12,15.8308781
2019-01-13,15.325789
2019-01-14,14.74382901
2019-01-15,14.36102896
2019-01-16,14.17111708
2019-01-17,14.77017681
2019-01-18,15.24017137
2019-01-19,15.66950238
2019-01-20,14.87755208
2019-01-21,14.2950831
2019-01-22,14.06769126
2019-01-23,14.17862541
2019-01-24,14.19517306
2019-01-25,14.50743687
2019-01-26,14.57173853
2019-01-27,14.11117685
2019-01-28,13.69828264
2019-01-29,13.1194497
2019-01-30,13.43901619
2019-01-31,13.01656751
2019-02-01,13.79832657
2019-02-02,14.40184678
2019-02-03,14.05116769
2019-02-04,13.0167829
2019-02-05,12.83809187
2019-02-06,13.24946914
2019-02-07,12.90258598
2019-02-08,13.17738336
2019-02-09,13.34976652
2019-02-10,12.85659171
2019-02-11,12.38145107
2019-02-12,12.1833519
2019-02-13,12.48233154
2019-02-14,12.68162792
2019-02-15,13.26667948
2019-02-16,13.20460183
2019-02-17,12.74157869
2019-02-18,12.44010112
2019-02-19,12.0240155
2019-02-20,12.24893207
2019-02-21,12.62972467
2019-02-22,13.17017928
2019-02-23,13.4830342
2019-02-24,13.19451125
2019-02-25,12.45927681
2019-02-26,12.06135183
2019-02-27,12.42092084
2019-02-28,12.75914001
2019-03-01,13.14438132
2019-03-02,13.53642323
2019-03-03,13.09938735
2019-03-04,12.44526031
2019-03-05,12.22712363
2019-03-06,12.18312171
2019-03-07,12.58808428
2019-03-08,13.10884854
2019-03-09,13.5226544
2019-03-10,12.82710789
2019-03-11,12.61628015
2019-03-12,12.37702023
2019-03-13,12.42537214
2019-03-14,12.98796137
2019-03-15,13.51222333
2019-03-16,13.82752241
2019-03-17,13.54188242
2019-03-18,12.94858129
2019-03-19,12.82461943
2019-03-20,13.41426501
2019-03-21,13.10520711
2019-03-22,13.46341528
2019-03-23,13.76220545
2019-03-24,13.17843075
2019-03-25,12.88424961
2019-03-26,12.98616026
2019-03-27,13.29886927
2019-03-28,13.49942994
2019-03-29,13.84738705
2019-03-30,13.71773192
2019-03-31,12.92655276
2019-04-01,12.57439318
2019-04-02,12.15500222
2019-04-03,12.27188597
2019-04-04,12.6845324
2019-04-05,13.44139967
2019-04-06,13.63574372
2019-04-07,13.24713429
2019-04-08,12.61112718
2019-04-09,12.17519152
2019-04-10,11.82379694
2019-04-11,12.48113106
2019-04-12,13.06383086
2019-04-13,13.43075961
2019-04-14,12.99458647
2019-04-15,12.43634508
2019-04-16,12.44452962
2019-04-17,12.72191171
2019-04-18,13.19155101
2019-04-19,13.77999353
2019-04-20,14.18097803
2019-04-21,13.90264817
2019-04-22,13.53614188
2019-04-23,12.95299831
2019-04-24,13.45080108
2019-04-25,13.68790518
2019-04-26,13.82350014
2019-04-27,14.34507399
2019-04-28,14.05296654
2019-04-29,13.4516081
2019-04-30,13.30978868
2019-05-01,13.41415562
2019-05-02,14.05594311
2019-05-03,14.76224327
2019-05-04,15.00455466
2019-05-05,14.5174404
2019-05-06,13.63576136
2019-05-07,13.21571884
2019-05-08,13.46413194
2019-05-09,13.90414113
2019-05-10,14.34944656
2019-05-11,14.60316618
2019-05-12,14.15839634
2019-05-13,13.7026453
2019-05-14,13.3712143
2019-05-15,13.5293346
2019-05-16,14.07373907
2019-05-17,14.09721154
2019-05-18,14.17187719
2019-05-19,14.05218494
2019-05-20,13.12426722
2019-05-21,12.96037852
2019-05-22,13.57998777
2019-05-23,14.22300036
2019-05-24,14.97386582
2019-05-25,14.70979467
2019-05-26,14.28889165
2019-05-27,13.30626611
2019-05-28,13.02783635
2019-05-29,13.56570481
2019-05-30,13.91964769
2019-05-31,14.05510698
2019-06-01,14.46424048
2019-06-02,14.1167353
2019-06-03,13.73375516
2019-06-04,13.5535571
2019-06-05,13.81097555
2019-06-06,14.05956845
2019-06-07,14.34303106
2019-06-08,14.69086551
2019-06-09,14.27899228
2019-06-10,13.71035844
2019-06-11,13.41350609
2019-06-12,13.56618507
2019-06-13,14.06184772
2019-06-14,13.61173206
2019-06-15,14.67126256
2019-06-16,14.24540848
2019-06-17,13.7389316
2019-06-18,13.46821428
2019-06-19,13.6642543
2019-06-20,14.06811334
2019-06-21,14.5926689
2019-06-22,14.79863594
2019-06-23,14.20928791
2019-06-24,13.80295898
2019-06-25,13.71839588
2019-06-26,12.22460634
2019-06-27,14.26793407
2019-06-28,14.86846256
2019-06-29,15.24135496
2019-06-30,14.69721627
2019-07-01,14.23494651
2019-07-02,13.977399
2019-07-03,14.168279
2019-07-04,14.5451395
2019-07-05,15.25419887
2019-07-06,15.60118426
2019-07-07,15.16225937
2019-07-08,14.55077671
2019-07-09,14.31837821
2019-07-10,12.73693761
2019-07-11,15.1438893
2019-07-12,15.76964189
2019-07-13,15.71375879
2019-07-14,15.80784045
2019-07-15,15.37933985
2019-07-16,15.18697934
2019-07-17,15.35303046
2019-07-18,15.5005839
2019-07-19,13.11587077
2019-07-20,16.16442228
2019-07-21,16.72841471
2019-07-22,14.30700959
2019-07-23,16.12733604
2019-07-24,16.45492023
2019-07-25,16.93329227
2019-07-26,17.53682127
2019-07-27,17.68169022
2019-07-28,17.74418307
2019-07-29,17.28136036
2019-07-30,17.18533024
2019-07-31,17.46556227
2019-08-01,17.92629572
2019-08-02,18.51341043
2019-08-03,18.88763509
2019-08-04,18.41714075
2019-08-05,17.95869845
2019-08-06,17.79685075
2019-08-07,18.11603547
2019-08-08,18.72312516
2019-08-09,19.15703036
2019-08-10,19.39244262
2019-08-11,18.38658728
2019-08-12,18.11397256
2019-08-13,17.94368836
2019-08-14,17.95611224
2019-08-15,18.14863266
2019-08-16,18.45564999
2019-08-17,18.74502178
2019-08-18,17.98306459
2019-08-19,17.18123289
2019-08-20,16.72412964
2019-08-21,16.7528269
2019-08-22,16.89776536
2019-08-23,17.15705015
2019-08-24,17.16448941
2019-08-25,16.29435334
2019-08-26,15.5650875
2019-08-27,13.50605594
2019-08-28,14.25808887
2019-08-29,13.62005946
2019-08-30,15.33834188
2019-08-31,15.32689813
2019-09-01,14.05664917
2019-09-02,13.47569712
2019-09-03,13.29723168
2019-09-04,12.80973991
2019-09-05,13.86211496
2019-09-06,13.31242339
2019-09-07,14.18236343
2019-09-08,13.6544286
2019-09-09,13.17989274
2019-09-10,13.38863691
2019-09-11,13.39484903
2019-09-12,13.74773586
2019-09-13,14.26639122
2019-09-14,14.62021128
2019-09-15,14.27679529
2019-09-16,13.83784081
2019-09-17,13.52378268
2019-09-18,13.70977709
2019-09-19,14.16036176
2019-09-20,14.73643437
2019-09-21,12.12099195
2019-09-22,12.26240339
2019-09-23,14.07209475
2019-09-24,13.70989332
2019-09-25,14.15355399
2019-09-26,14.75279475
2019-09-27,14.72348738
2019-09-28,15.67423597
2019-09-29,15.23842445
2019-09-30,14.26161217
2019-10-01,13.6898981
2019-10-02,12.29693993
2019-10-03,14.93193364
2019-10-04,15.41449586
2019-10-05,15.45028379
2019-10-06,14.95787899
2019-10-07,14.62398869
2019-10-08,14.13770637
2019-10-09,14.05621743
