date,Original,Predicted
2018-09-03,129066,146873
2018-09-04,128282,143168
2018-09-05,131120,146656
2018-09-06,137092,149311
2018-09-07,143154,150893
2018-09-08,149482,153816
2018-09-09,143756,149362
2018-09-10,136490,143438
2018-09-11,134729,140791
2018-09-12,139520,143988
2018-09-13,139853,122391
2018-09-14,144389,154150
2018-09-15,143171,156160
2018-09-16,134267,151661
2018-09-17,126140,144164
2018-09-18,120085,142616
2018-09-19,117082,144166
2018-09-20,114762,146701
2018-09-21,125198,151506
2018-09-22,151879,154761
2018-09-23,180904,149101
2018-09-24,199556,143112
2018-09-25,188416,139460
2018-09-26,162603,142351
2018-09-27,143689,144645
2018-09-28,137504,150212
2018-09-29,139524,151883
2018-09-30,137025,147342
2018-10-01,106914,141805
2018-10-02,109812,138615
2018-10-03,111062,139283
2018-10-04,105536,143724
2018-10-05,88778,92296
2018-10-06,92750,146097
2018-10-07,115398,146222
2018-10-08,125720,139223
2018-10-09,134796,138673
2018-10-10,135034,138706
2018-10-11,139450,139129
2018-10-12,148452,143934
2018-10-13,151711,145815
2018-10-14,147494,143911
2018-10-15,141134,139450
2018-10-16,142734,132614
2018-10-17,150370,136457
2018-10-18,154612,139068
2018-10-19,158946,143905
2018-10-20,159033,146303
2018-10-21,152201,142454
2018-10-22,143112,137176
2018-10-23,143042,135463
2018-10-24,147710,136809
2018-10-25,151868,139221
2018-10-26,155166,145581
2018-10-27,157815,146043
2018-10-28,152044,143090
2018-10-29,143126,137179
2018-10-30,138946,131985
2018-10-31,141494,133088
2018-11-01,121544,135712
2018-11-02,133206,141985
2018-11-03,138254,145659
2018-11-04,132150,139633
2018-11-05,122451,134666
2018-11-06,120050,133707
2018-11-07,122602,137568
2018-11-08,126574,136870
2018-11-09,134970,142744
2018-11-10,139016,143338
2018-11-11,132674,139364
2018-11-12,122276,133341
2018-11-13,117523,130808
2018-11-14,120449,132956
2018-11-15,124362,138200
2018-11-16,133994,141831
2018-11-17,142688,142937
2018-11-18,135618,137589
2018-11-19,122626,132678
2018-11-20,114310,129513
2018-11-21,113572,132627
2018-11-22,121800,131821
2018-11-23,134141,137905
2018-11-24,139996,143326
2018-11-25,134596,138053
2018-11-26,123456,133967
2018-11-27,117719,130557
2018-11-28,118584,132366
2018-11-29,125097,134090
2018-11-30,129924,140221
2018-12-01,113012,144078
2018-12-02,106194,143114
2018-12-03,95277,137134
2018-12-04,91959,127174
2018-12-05,95288,129958
2018-12-06,104111,129082
2018-12-07,109221,130209
2018-12-08,116854,134233
2018-12-09,114226,129875
2018-12-10,104272,127382
2018-12-11,100230,123370
2018-12-12,100670,125545
2018-12-13,107023,130901
2018-12-14,114408,133727
2018-12-15,122157,136017
2018-12-16,119924,133874
2018-12-17,115630,130318
2018-12-18,116456,126963
2018-12-19,113281,133633
2018-12-20,111268,129901
2018-12-21,117778,142743
2018-12-22,132738,142315
2018-12-23,137480,133563
2018-12-24,137389,125974
2018-12-25,136052,125295
2018-12-26,134736,129034
2018-12-27,136878,123292
2018-12-28,142664,129980
2018-12-29,156198,134259
2018-12-30,164535,129263
2018-12-31,167150,124999
2019-01-01,132360,123302
2019-01-02,123428,125512
2019-01-03,120036,127218
2019-01-04,122280,132540
2019-01-05,127988,137816
2019-01-06,123669,131340
2019-01-07,120620,125747
2019-01-08,123372,124258
2019-01-09,126620,125290
2019-01-10,130536,130503
2019-01-11,134575,136343
2019-01-12,141810,139211
2019-01-13,140648,133672
2019-01-14,138257,127349
2019-01-15,140364,124665
2019-01-16,141673,123871
2019-01-17,143787,129382
2019-01-18,147284,134014
2019-01-19,158554,139638
2019-01-20,147546,131000
2019-01-21,144274,126818
2019-01-22,140896,126052
2019-01-23,144095,128190
2019-01-24,150311,128662
2019-01-25,148564,132565
2019-01-26,152117,135567
2019-01-27,149062,131502
2019-01-28,143398,127797
2019-01-29,139363,124175
2019-01-30,134858,128720
2019-01-31,133889,123834
2019-02-01,110862,133635
2019-02-02,134684,140847
2019-02-03,157804,136636
2019-02-04,170132,127158
2019-02-05,170065,126920
2019-02-06,147178,131652
2019-02-07,129392,127454
2019-02-08,127757,131891
2019-02-09,129514,134317
2019-02-10,125864,129275
2019-02-11,125548,124730
2019-02-12,128037,124046
2019-02-13,132783,127537
2019-02-14,135968,128636
2019-02-15,136994,135787
2019-02-16,140777,134758
2019-02-17,140217,130283
2019-02-18,136546,127767
2019-02-19,135576,123900
2019-02-20,138054,127467
2019-02-21,140472,130882
2019-02-22,143622,136544
2019-02-23,148782,140187
2019-02-24,149670,137101
2019-02-25,143073,129294
2019-02-26,142796,127011
2019-02-27,145026,131732
2019-02-28,152740,133791
2019-03-01,148883,138222
2019-03-02,147126,142330
2019-03-03,132811,137745
2019-03-04,122829,130559
2019-03-05,116088,129664
2019-03-06,118374,128532
2019-03-07,124484,131820
2019-03-08,133021,137295
2019-03-09,141054,140680
2019-03-10,137942,133237
2019-03-11,134351,130265
2019-03-12,138166,127955
2019-03-13,129213,129111
2019-03-14,133284,132929
2019-03-15,140444,137638
2019-03-16,148876,141301
2019-03-17,146979,137992
2019-03-18,140746,131239
2019-03-19,137627,130322
2019-03-20,140182,136848
2019-03-21,144228,130121
2019-03-22,155841,136468
2019-03-23,155592,139709
2019-03-24,164328,134058
2019-03-25,152026,130917
2019-03-26,152684,133603
2019-03-27,156030,136780
2019-03-28,159810,138725
2019-03-29,164801,142743
2019-03-30,167290,142417
2019-03-31,161581,134666
2019-04-01,114996,132033
2019-04-02,115776,128724
2019-04-03,123616,131338
2019-04-04,129444,135698
2019-04-05,136944,143308
2019-04-06,141558,145359
2019-04-07,136367,141739
2019-04-08,128132,136058
2019-04-09,119693,132641
2019-04-10,130742,129246
2019-04-11,132097,135932
2019-04-12,141326,141679
2019-04-13,146776,145483
2019-04-14,138996,140390
2019-04-15,130095,134094
2019-04-16,124646,133154
2019-04-17,126994,137282
2019-04-18,134309,139779
2019-04-19,141652,145076
2019-04-20,146486,149364
2019-04-21,141078,144921
2019-04-22,133550,139796
2019-04-23,130011,134296
2019-04-24,136888,139401
2019-04-25,144739,140481
2019-04-26,152089,140675
2019-04-27,156796,146105
2019-04-28,156986,142698
2019-04-29,144280,134684
2019-04-30,143238,134755
2019-05-01,127810,135601
2019-05-02,131302,141277
2019-05-03,142734,148841
2019-05-04,158616,151453
2019-05-05,157962,146362
2019-05-06,140287,137420
2019-05-07,125268,134431
2019-05-08,122258,138414
2019-05-09,127026,142080
2019-05-10,134614,147170
2019-05-11,136395,149987
2019-05-12,130543,146581
2019-05-13,127316,141733
2019-05-14,129972,140050
2019-05-15,138831,142086
2019-05-16,143801,147387
2019-05-17,146160,147734
2019-05-18,141127,150141
2019-05-19,135916,147892
2019-05-20,132240,139515
2019-05-21,133763,138896
2019-05-22,139825,145217
2019-05-23,143952,150315
2019-05-24,146556,158330
2019-05-25,148018,155731
2019-05-26,140682,151677
2019-05-27,138019,140614
2019-05-28,130918,139036
2019-05-29,135548,143768
2019-05-30,136980,146305
2019-05-31,142275,147707
2019-06-01,127614,151887
2019-06-02,127064,147041
2019-06-03,120474,143124
2019-06-04,122230,140887
2019-06-05,132380,144912
2019-06-06,139006,146090
2019-06-07,143132,147995
2019-06-08,157832,152890
2019-06-09,135786,148754
2019-06-10,126252,141852
2019-06-11,123882,140452
2019-06-12,127334,142603
2019-06-13,132038,145843
2019-06-14,134120,142818
2019-06-15,150836,153814
2019-06-16,136633,149270
2019-06-17,130032,144297
2019-06-18,124422,142460
2019-06-19,128933,144922
2019-06-20,134960,148187
2019-06-21,141894,153203
2019-06-22,148670,155635
2019-06-23,147854,148723
2019-06-24,144582,145132
2019-06-25,153150,144692
2019-06-26,143038,129175
2019-06-27,140928,149055
2019-06-28,140102,155579
2019-06-29,134694,158002
2019-06-30,130946,152116
2019-07-01,108994,146882
2019-07-02,124201,144641
2019-07-03,123330,146375
2019-07-04,130462,148197
2019-07-05,143272,154488
2019-07-06,137112,158220
2019-07-07,132888,152426
2019-07-08,136000,146175
2019-07-09,134218,143666
2019-07-10,146146,127338
2019-07-11,144557,149511
2019-07-12,145110,155539
2019-07-13,151088,154754
2019-07-14,150888,154300
2019-07-15,146909,148907
2019-07-16,144690,147169
2019-07-17,145148,148083
2019-07-18,145876,148049
2019-07-19,138974,122512
2019-07-20,136972,152829
2019-07-21,149499,157412
2019-07-22,153528,130318
2019-07-23,173152,150382
2019-07-24,170314,152685
2019-07-25,181304,155267
2019-07-26,174153,160540
2019-07-27,182584,160861
2019-07-28,185784,160379
2019-07-29,187628,154170
2019-07-30,191292,151909
2019-07-31,197757,154625
2019-08-01,167612,157237
2019-08-02,175766,162487
2019-08-03,182500,165564
2019-08-04,187460,159311
2019-08-05,182808,153302
2019-08-06,169642,151566
2019-08-07,167150,154197
2019-08-08,164854,159356
2019-08-09,163678,163677
2019-08-10,163082,166460
2019-08-11,165154,155910
2019-08-12,170520,152479
2019-08-13,167990,153236
2019-08-14,173166,154043
2019-08-15,179445,156728
2019-08-16,181216,160576
2019-08-17,181118,165081
2019-08-18,173114,158889
2019-08-19,168651,152258
2019-08-20,167930,150369
2019-08-21,176953,153392
2019-08-22,172102,156165
2019-08-23,172711,161112
2019-08-24,175032,164575
2019-08-25,172389,157922
2019-08-26,170852,152608
2019-08-27,170541,133954
2019-08-28,172406,145421
2019-08-29,171350,140226
2019-08-30,172952,160103
2019-08-31,168878,162358
2019-09-01,128314,150768
2019-09-02,117078,146263
2019-09-03,111447,147179
2019-09-04,111304,142909
2019-09-05,105788,153706
2019-09-06,105396,149674
2019-09-07,75436,159155
2019-09-08,89212,154012
2019-09-09,109092,148818
2019-09-10,120988,152163
2019-09-11,139366,151778
2019-09-12,167069,154800
2019-09-13,193410,159212
2019-09-14,186025,162437
2019-09-15,157588,157768
2019-09-16,140662,151879
2019-09-17,138761,149110
2019-09-18,147210,149769
2019-09-19,156954,153125
2019-09-20,157500,158340
2019-09-21,142107,130720
2019-09-22,109074,131086
2019-09-23,146444,148188
2019-09-24,139790,144511
2019-09-25,175847,149422
2019-09-26,173369,153433
2019-09-27,166341,153348
2019-09-28,164784,163053
2019-09-29,166866,157824
2019-09-30,156604,146945
2019-10-01,116319,142278
2019-10-02,90167,128588
2019-10-03,120438,153973
2019-10-04,138047,159047
2019-10-05,155358,159882
2019-10-06,154637,154203
2019-10-07,144949,150569
2019-10-08,148572,146006
2019-10-09,154234,145354
2019-10-10,155208,149919
2019-10-11,156208,157873
2019-10-12,160706,160209
2019-10-13,152478,153714
2019-10-14,147500,147126
2019-10-15,150874,143547
2019-10-16,159100,146362
2019-10-17,164290,151119
2019-10-18,168514,154902
2019-10-19,169586,159057
2019-10-20,161546,154032
2019-10-21,155362,148678
2019-10-22,156961,147879
2019-10-23,161486,149693
2019-10-24,166530,151640
2019-10-25,170530,157061
2019-10-26,170114,155647
2019-10-27,161497,150739
2019-10-28,153741,144702
2019-10-29,152988,144603
2019-10-30,164745,145244
2019-10-31,159404,148064
2019-11-01,138950,155137
2019-11-02,145187,157889
2019-11-03,138562,152471
2019-11-04,130056,146821
2019-11-05,128548,144239
2019-11-06,133732,145039
2019-11-07,144330,147769
2019-11-08,157496,150570
2019-11-09,152008,154012
2019-11-10,147749,150143
2019-11-11,144848,146979
2019-11-12,148096,141709
2019-11-13,137154,144348
2019-11-14,150584,143552
2019-11-15,161388,149114
2019-11-16,158280,155723
2019-11-17,150958,155752
2019-11-18,137064,138208
2019-11-19,130386,138296
2019-11-20,133343,139890
2019-11-21,139094,145941
2019-11-22,148078,154435
2019-11-23,164717,158882
2019-11-24,155519,153258
2019-11-25,138786,139144
2019-11-26,132528,140959
2019-11-27,152478,139885
2019-11-28,142093,143473
2019-11-29,156608,148157
2019-11-30,149916,152661
2019-12-01,127428,145071
2019-12-02,110145,141086
2019-12-03,106911,138483
