date,Original,Predicted
2020-12-10,114373,161516
2020-12-11,121184,168057
2020-12-12,125758,169263
2020-12-13,126172,160345
2020-12-14,118909,150858
2020-12-15,115504,149046
2020-12-16,114842,152133
2020-12-17,118780,157279
2020-12-18,116974,163489
2020-12-19,114849,163568
2020-12-20,110750,162167
2020-12-21,107597,156337
2020-12-22,106432,153976
2020-12-23,110012,158061
2020-12-24,116540,161676
2020-12-25,120169,162935
2020-12-26,119984,166668
2020-12-27,112665,162674
2020-12-28,107485,160187
2020-12-29,105574,154568
2020-12-30,99718,148173
2020-12-31,110439,154586
2021-01-01,85340,162831
2021-01-02,89464,165791
2021-01-03,82579,159530
2021-01-04,76111,154872
2021-01-05,73574,151817
2021-01-06,74298,153655
2021-01-07,61400,146978
2021-01-08,59682,154965
2021-01-09,70196,161583
2021-01-10,72674,159438
2021-01-11,79510,151221
2021-01-12,84539,151927
2021-01-13,90674,159615
2021-01-14,96243,161949
2021-01-15,102322,168046
2021-01-16,105298,164669
2021-01-17,105707,158751
2021-01-18,106995,156186
2021-01-19,108734,151296
2021-01-20,109498,157100
2021-01-21,111514,164262
2021-01-22,115472,169567
2021-01-23,117397,163481
2021-01-24,121754,167885
2021-01-25,120743,162472
2021-01-26,119840,154407
2021-01-27,123484,157742
2021-01-28,124712,158767
2021-01-29,132212,160429
2021-01-30,134964,168809
2021-01-31,133108,166519
2021-02-01,96946,156725
2021-02-02,98105,149466
2021-02-03,102400,156046
2021-02-04,105777,159397
2021-02-05,112938,166346
2021-02-06,119108,171207
2021-02-07,120600,166747
2021-02-08,116308,154003
2021-02-09,116196,152572
2021-02-10,130722,157339
2021-02-11,149782,163274
2021-02-12,165442,171707
2021-02-13,164486,174446
2021-02-14,148194,169696
2021-02-15,133382,157433
2021-02-16,132699,153693
2021-02-17,129658,152187
2021-02-18,134897,157173
2021-02-19,147928,167195
2021-02-20,154910,178604
2021-02-21,158336,174758
2021-02-22,158624,164322
2021-02-23,157280,156119
2021-02-24,157213,161647
2021-02-25,155372,161494
2021-02-26,157745,170222
2021-02-27,170114,174245
2021-02-28,171510,172086
2021-03-01,132307,164321
2021-03-02,122059,156652
2021-03-03,114107,160948
2021-03-04,115300,161491
2021-03-05,126168,171833
2021-03-06,132920,173712
2021-03-07,135947,168567
2021-03-08,135048,162556
2021-03-09,133917,160171
2021-03-10,135692,162686
2021-03-11,139506,166435
2021-03-12,147056,169022
2021-03-13,158403,174439
2021-03-14,161679,168820
2021-03-15,157294,165656
2021-03-16,150955,160039
2021-03-17,149614,163379
2021-03-18,152862,168721
2021-03-19,161766,173976
2021-03-20,168178,174839
2021-03-21,173936,166929
2021-03-22,174752,162600
2021-03-23,173012,161836
2021-03-24,175942,165903
2021-03-25,184205,169198
2021-03-26,189651,173676
2021-03-27,186823,180491
2021-03-28,185188,172908
2021-03-29,177758,168723
2021-03-30,169491,163681
2021-03-31,167426,168819
2021-04-01,130823,169628
2021-04-02,141771,177192
2021-04-03,149919,181451
2021-04-04,152730,169566
2021-04-05,148768,165675
2021-04-06,149240,164424
2021-04-07,152548,168187
2021-04-08,161448,169943
2021-04-09,170496,175315
2021-04-10,177230,177850
2021-04-11,175742,175158
2021-04-12,157902,166736
2021-04-13,153426,163428
2021-04-14,157276,164068
2021-04-15,171444,168890
2021-04-16,180744,176315
2021-04-17,188678,178443
2021-04-18,187800,172012
2021-04-19,180173,167979
2021-04-20,169862,166430
2021-04-21,166358,170829
2021-04-22,173285,177210
2021-04-23,181220,179839
2021-04-24,190918,181178
2021-04-25,193697,176240
2021-04-26,184118,170033
2021-04-27,173428,168069
2021-04-28,169477,171694
2021-04-29,175483,175517
2021-04-30,183281,176778
2021-05-01,165700,176357
2021-05-02,168662,174212
2021-05-03,156062,169941
2021-05-04,146506,168595
2021-05-05,166380,170626
2021-05-06,162050,175434
2021-05-07,167766,180392
2021-05-08,172774,182009
2021-05-09,168196,178644
2021-05-10,160122,175527
2021-05-11,154242,171473
2021-05-12,155978,173465
2021-05-13,164980,177682
2021-05-14,170076,183821
2021-05-15,177562,186195
2021-05-16,173834,180198
2021-05-17,166394,171804
2021-05-18,169690,170871
2021-05-19,178560,175860
2021-05-20,174142,170548
2021-05-21,182833,181212
2021-05-22,193781,185079
2021-05-23,187698,180837
2021-05-24,176522,174289
2021-05-25,170128,172733
2021-05-26,169032,169494
2021-05-27,177030,176180
2021-05-28,185514,181377
2021-05-29,192594,185766
2021-05-30,190141,181519
2021-05-31,174982,176499
